text,sentiment
dün UNK düş üst üste sekizinci gün gir dün üzeri kayıp endeks yılbaşı göre %14 üzeri gerile ol banka hisse kayıp iş dün %8 yılbaşı göre %23 bul dün sat belirgin haber ak one çık tarih veri denli sert düş sonra tepki gel göster dün düş sonra bist-100 endeks günlük hareket ortalama sadece üzeri seyret endeks ekim 2021 yan ortalama üzeri kal başar ortalama denli yakın iş en sen temmuz 2022 gerçekle yılbaş yan sat devam et yıl yüksek getiri realizasyon 2023 belirsiz endişe yorumla dün yurtdışı taraf iş fed beklenti paralel gel faiz artı sonra temkin iyimser hava haki yurtdışı taraf borsa endeks gün genelde artı kapa haber ak açı yarın açıkla ocak ayı enflasyon veri önem taşı UNK bugün dün UNK miktar tepki gel ancak piyasa bu devam konu temkin hareket UNK düşün,neg
dün açıkla dördüncü çeyrek büyü miktar beklenti alt kal piyasa tarafından olumlu karşıla banka ocak ayı karı iş özel banka açı temkin iyimser değer dün abd tahvil faiz ilişkin endişe hafifle abd hisse senet piyasa risk iştah art gör abd endeks aralık yüksel bist de yurt dişi taraf olumlu eğilim takip et ancak sabah itibar yurt dişi piyasa daha temkin hareket et asya hisse senet endeks karışık seyir ol gözlemle bu paralel ol bıst de gün yatay aç başla bekle,neg
ukrayna kriz uzun sür beklenti rusya donuk devlet şirket düzey yaptırım açıkla finansal piyasa belirsiz art neden ol dün özellikle petrol fiyat art devam et borsa sat seyir gözlemle dün içeri iş demir çelik savun hisse alım banka katıl %1 geçen yüksel gör diğer taraf havacılık hisse sat baskı devam et dün banka gözle iyimser hava kuvvet gel ocak ayı kar banka temettü açıkla hepsi önem garanti ana hissedar çağrı süreç ilişkin beklenti yansı ol düşün dün sat ardından sabah abd endeks vade toparla çaba asya piyasa sat baskı gör bıst gün yatay başla bekle,neg
banka alım etki banka sektör endeks gün %4 üzeri art tamamla UNK günlük ortalama düzey kazanç sağla banka hisse dip ara kadar yurtdışı yerleşik sen on gün süre döviz sat kur gözle nispi stabilizasyon hisse senet taraf risk iştah katkı sağla hafta sen işlem gün paskalya tatil neden yurtdışı piyasa kapalı ol yabancı yatırım sat baskı olası rahatla bıst dün al seyir bugün de taşı endeks direnç seviye doğru hareket bekle,neg
bilanço dönem devam et geç hafta kayıp kapa UNK hacim daral devam et piyasa temkin hareket et gör temkin seyir hafta devam et bekle,neg
abd hisse senet borsa diğer yurtdışı piyasa genelde resesyon risk neden temkin seyir izle dün abd borsa finansal sektör hisse ağırlık sat ardından sabah endeks vade hafif toparla çaba var bist iş olumlu ayrış sür UNK dün yüksel banka enerji hisse dikkat çek veri ak açı yarın enflasyon veri banka nisan ayı toplu kar önem ol bıst gün yatay eğilim başla bekle,neg
dün borsa önce gün kayıp geri al endeks yüz biri hafif asa art göster dün yüksel havayolu şirket gel alım belirgin durum küresel baz alim iştah birlikte değer yeni UNK varyant ilişkin endişe kısmen geri plan kal bağla dün yurt dişi taraf abd avrupa borsa güç kapa yap sabah iş yeni varyant endişe neden asya zayıf seyret abd hisse senet vade iş yatay yakın seviye ol izle bıst gün hafif al başla bekle ancak risk iştah zayıf kal devam et düşün,neg
bist-100 yeni ay hafta ilk gün art göster yüksel holding perakende demir çelik banka hisse one çık bıst dün alım ardından bugün miktar konsolidasyon ara içeri ol yatay hareket et bekle,neg
hafta kuvvet başlangıç yap bist dün beklenti paralel yeni seviye denge yatay yakın seyir gözle önce gün yüksel sürükle banka birkaç kademe geri çek göster havayolu şirket miktar alim gel demir çelik hisse sat baskı devam et dün yurtdışı taraf hisse senet donuk temkin iyimser koru gör abd hisse senet endeks özellikle teknoloji hisse yeni yüksel göster sabah itibar de asya endeks hafif sat baskı abd endeks vade dengele çaba dikkat çek veri ak açı ticaret bakanlık ağustos ayı dış ticaret veri takip et piyasa daha merak et veri yarın açıkla ağustos ayı enflasyon ol veri önce yurtdışı piyasa temkin eğilim de dikkat al bugün bıst yatay eğilim göster tahmin et,neg
dün bist banka belirgin alım karşın özellikle demir çelik petro kimya hisse gel sat miktar gerile bist hisse değişim güç orta vade yüksel trend koru çalış değer hafta sen gün de eğilim koru çalış tahmin et gün yatay başlangıç bekle,neg
bugün açıkla aralık ayı enflasyon veri piyasa yön belirle en önem geliş ol one çık veri önce piyasa temkin hareket et yeni yıl yatay seviye başlangıç yap tahmin et,neg
yurt dişi taraf dün güç bilanço açıkla yüksel abd endeks risk iştah koru ancak sabah itibar asya piyasa abd vade endeks hafif geri çek dikkat çek haber ak açı bugün yurt dış amb ingiltere merkez banka karar avrupa bölge pmı veri takip et yurt iç iş piyasa ocak ayı enflasyon rakam bekle piyasa genel beklenti enflasyon yüksel eğilim süre daha devam et yön veri önce dün bist güç kar açıkla banka olumlu ayrış gözle dün banka hisse ortalama %3 yakın yüksel göster bist-100 endeks oran geri çek borsa bugün gün daha temkin yatay aç başla bekle,neg
dün gün içeri seviye kadar çek bist-100 endeks gün %1 yakın art seviye üzeri kapa başar böylece endeks eğilim sekiz günlük kesinti düş ardından şimdilik sonlan ol borsa sen dönem gör sert fiyat hareket ardından dün bist spk gel açıkla ı UNK veya üzeri düş durum açık sat yap işlem sıra yukarı adım kural seans son kadar otomatik uygula UNK bist pay senet repo pazar işlem gör ters repo sözleşme son er tarih ikinci kez nisan eylül ertele duyur veri ak açı dün gel dış ticaret rakam art dış ticaret açık işaret et bugün iş enflasyon veri açıkla dün sert dalga ardından bugün endeks dengele ara ol tahmin et,neg
küresel piyasa ukrayna kriz ekonomi ver zarar fiyatla çalış enerji gıda fiyat art eğilim enflasyonist beklenti güç fed mart ayı toplantı faiz artı yap sinyal gel diğer taraf küresel yatırım ortam ilgilen diğer geliş de rusya mscı endeks çıkar ol fed faiz politika değişik git duyur abd hisse senet toparla sağla diğer taraf mscı endeks değişik likidite sıkıntı yaşa ağır zarar karşılaş küresel yatırım fon diğer goü miktar sat yönlen yurt iç iş gün en önem geliş şubat ayı enflasyon açıkla ol sert sat gör havacılık hisse seviye tepki ver genel ol bıst iş gün yatay seviye başla bekle,neg
bist-100 cuma gün kayıp tamamla hafta düş %4 geç abd temel hisse senet endeks iş geç hafta faiz beklenti yumuşa banka sektör dair endişe yatış civar art tamamla yurt iç yeni hafta gir ekonomi gündem baş bugün gel mart enflasyon veri önem taşı ayrıca kamu destek emekli fon yüküm çerçeve aylık alım endeks miktar de ver bekle bist gün yatay seviye başla bekle,neg
geç hafta UNK art kaydet kapa karar turizm sezon güç gir beklenti turizm havacılık hisse endeks üzeri getiri sağla bu karşılık banka beklenti güç gel UNK sonuç sat alın banka hisse ancak kadar art göster gör geç hafta yurt dişi piyasa açı risk iştah nispeten zayıf seyret abd avrupa borsa civar geri çek süreç ol yeni hafta makro veri açı oldukça yoğun görün özellikle bugün gel nisan ayı enflasyon perşembe gün ppk toplantı yakın izle konu ara yer al hafta başlangıç abd vade endeks hafif toparla çaba dikkat çek bıst yeni hafta yatay seyir başla bekle,neg
dün merkez banka ekonomist toplantı var ver mesaj para politika uygula kısa dönem değişik öngör vurgula dün borsa taraf küresel eğilim paralel ol petrol petrokimya hisse sürükle seans izle ancak demir çelik hisse kar sat banka zayıf sür endeks yatay kapa yap gündem haber ak açı bugün oldukça yoğun görün abd tarafından gel istihdam veri enflasyon ilişkin risk fiyat açı önem taşı bugün içeri de mayıs ayı enflasyon veri banka nisan ayı toplu sonuç açıkla sen kaç gün gözle dip seviye hisse baz alım devam et dün aç düş sonra gel toparla piyasa açı olumlu bugün de bıst gün yatay seviye başla bekle,neg
bist yatay aç bekle küresel piyasa hisse senet donuk temkin koru dün abd hisse sıkış aralık sinir değişim göster sabah itibar asya piyasa UNK endişe neden eksi seyret gör bist iş bilanço beklenti yurt dış miktar olumlu ayrış durum dün geç hafta kuvvet yüksel göster demir çelik hisse kar sat gelir endeks daha petrokimya otomotiv çimento hisse destekle banka hafif iyimser eğilim gözle bugün piyasa açı saat 10 açıkla temmuz ayı enflasyon veri önem taşı veri önce döviz taraf sakın ol tl sen iki hafta gözle güç koru gör bist iş gün temkin yatay başlangıç ardından dar bant seyir bekle,neg
geç hafta küresel piyasa sat eğilim sür abd hisse senet endeks %3 varan kayıp göster yine abd endeks üst üste üçüncü çeyrek eksi kapa dönem ol bist-100 iş cuma gün enerji hisse gel alım geç hafta kayıp tamamla ancak bist-100 aylık baz yatay seyret eylül banka gyo telekom hisse belirgin sat bu karşılık enerji altın perakende hisse belirgin al eğilim göster bugün bist açı haber ak ol eylül ayı enflasyon veri one çık endeks yeni hafta denge seyir başla dar aralık yatay seyir koru tahmin et,neg
bugün veri ak açı önem gün seans aç ekim ayı enflasyon veri gel seans art abd gel tahvil alim program azal takvim ardından yap açıkla bekle dün işlem bak sanayi sektör endeks gerile karşın banka havacılık hisse alım bist-100 endeks gerile sinir tut yurtdışı taraf abd hisse senet endeks önem karar arife rekor seviye bulun bıst kritik veri önce temkin seyir izle gün yatay seyir başla tahmin et,neg
fed dün piyasa beklenti paralel baz puan faiz artı yap takip et dönem de faiz art ölçek azal sinyal ver bu birlikte karar eş et basın toplantı enflasyon düş zaman al vurgula uygula para politika aşırı sıkı de ifade et piyasa ön süreç ilişkin temkin eğilim ağırlık kazan neden ol dün abd hisse senet endeks sert düş göster sabah itibar hafif toparla çaba gözle dün UNK süre dikkat çek hisse değişim eş banka endeks değer kaybet bu karşılık telekom enerji çimento teknoloji hisse alım one çık söyle bist-100 gün artı sonlan seviye üzeri de ikinci kapa yap bıst bugün de yatay seyir izle bekle,neg
dün UNK sat baskı daha on plan çık telekom teknoloji hisse hariç hisse kar sat ol gör banka sanayi endeks gün kayıp tamamla UNK de gerile yaşa dün açıkla aralık ayı enflasyon veri beklenti hafif alt gel yurt dişi taraf bist kapa sonra gel fed para politika tutanak takip et UNK bugün hafif yukarı yön aç bekle,neg
dün abd mali teşvik paket beklenti küresel piyasa gözle iyimser içeri de yansı devam et yurt iç tl değer kazan hisse senet destekle dün ayrıca cds prim yaklaşık yıl ardından ilk kez baz puan alt hafif de ol gerile ocak ayı enflasyon miktar ortalama üzeri gerçek de bu orta uzun vade beklenti üzeri önem etki ol sabah itibar çin öncü asya piyasa hafif düzel gör abd vade de gün hafif sat başla yurt iç iş şirket UNK sonuç beklenti fiyatla çalış bıst dün ivme koru çalış gün hafif al başla bekle,neg
UNK kriz çatış sür piyasa olumsuz etkile önce gün kesin dün abd hisse senet endeks sat seyir var sat baskı sabah itibar endeks vade asya borsa sür gör yurt iç hisse düşük fiyatla sür ancak borsa kuvvet şekil yukarı taşı katalizör eksik belirgin dün açıkla enflasyon veri de piyasa nispeten temkin fiyat görüş bıst hafta sen iş gün zayıf seyir sür bist-100 endeks seviye üzeri tutun çalış tahmin et,neg
bist-100 endeks aç sonra %3 yaklaş kayıp seviye alt gerile ancak sen iki saat gel alım gün artı kapa gör gün makro taraf haber ak açı en önem geliş mart ayı tüf enflasyon beklenti miktar alt açıkla dün yurtdışı taraf iyimser koru UNK gel petrol arz azal konu uzlaş haber ardından küresel piyasa petrol fiyat art UNK de petrokimya sektör hisse dün toparla one çık bu dış havacılık telekom hisse de katkı sağla gözlemle banka demir çelik bil hisse olumsuz ayrış bugün UNK daha denge seyir bekle bıst gün hafif artı başla tahmin et,neg
bist-100 dün sat aç ardından seviye destek bul gün nispeten sinir kayıp 4.500 hafif alt tamamla sen gerile ardından yılbaşı göre kayıp bist-100 endeks civar gerçek enerji altın maden gyo bil hisse kayıp aralık ol dikkat çek bugün bist dün ikinci yarı gel toparla sür iste ancak hisse sat baskı son er söyle erken ol düşün,neg
yurt dişi taraf abd ekonomi can kuvvet ol dair veri enflasyon endişe yeniden on plan çıkar dolar destek ver dün abd hisse senet piyasa miktar sat seyir gör yurt iç iş beklenti alt gel mayıs ayı enflasyon rağmen tl zayıfla dikkat çek dün borsa taraf hafif sat seyir var demir çelik hisse kar sat karşın petrol kimya sektör hisse daha kuvvet seyir izle sabah itibar asya piyasa nispeten zayıf aç yap gör bist de hafif aşağı yön aç sonra sıkışık seyir sürme bekle,neg
geç hafta bist-100 endeks üzeri art kaydet önce hafta kayıp kısmen telafi et toparla özellikle banka hisse gel tepki alım havacılık hisse yukarı yön hareket sür saye sağla diğer taraf gıda perakende demir çelik hisse zayıf kal devam et geç hafta yurt dişi piyasa iş genelde sat ağırlık seyir izle yeni hafta başla asya piyasa çin inşaat sektör ilişkin endişe endeks belirgin sat baskı alt tut gör abd hisse senet endeks vade iş hafif sat görün yurt iç sabah açıkla enflasyon veri piyasa yön ver en önem geliş ol görün sabah aç kur taraf iş sakın ol gör bist de hafta yatay hafif yukarı aç yap yurtdışı piyasa seyir bağ ol yön belirgin bekle,neg
dün piyasa general yay sat endeks gün düş kapa banka hisse genel eğilim kıyas daha direnç bıst bugün seyir endeks eğilim anla açı önem taşı aç yatay piyasa bekle,neg
"fed enflasyon yüksel geçici ol piyasa müdahale et açıkla abd yıllık tahvil faiz %1,55 üzeri sen yıl en yüksek düzey taşı piyasa sert dalga neden ol dün başlıca abd hisse senet endeks teknoloji hisse ağırlık ol düzey kayıp göster sabah itibar vade endeks yatay seyir gözle dün UNK iş banka öncü et hafif yüksel var ancak bist-100 endeks özellikle havacılık hisse sat 1.550 alt kapa yap dün ayrıca yıllık tahvil faiz cds prim yüksel gözle piyasa yurt dişi dinamik neden gün sat başla ancak sen dönem aşağı gel gözlemle destek çalış gün içeri toparla gözle bu birlikte endeks yatay bant hareket yurt dişi taraf sert kır yasa koru düşün",neg
borsa geç hafta miktar toparla çaba göster UNK altın hisse gel alım endeks katkı ver banka sektör endeks art rağmen UNK yüksel geri kal yeni hafta gündem bugün saat 10 açıkla mart ayı enflasyon veri önem yer tut bıst gün yatay seyir başla bekle,neg
dün bist banka taraf sat sanayi hisse daha denge aç izle kapa yakın abd borsa ekşi aç sonra biz de sat hız bist-100 endeks gün kayıp günlük ortalama alt kapa sabah itibar abd vade toparla çaba dikkat çek ancak emtia fiyat sen dönem gözle yüksel de etki enflasyon endişe ön dönem daha fazla yer işgal et yurt iç piyasa yarın ppk toplantı ver mesaj odakla borsa gün yatay eğilim başla bekle,neg
bist-100 dün gün yatay seviye kapa gün içeri endeks dar bant hareket et gıda havacılık perakende hisse miktar olumlu ayrış bu karşılık banka demir çelik enerji hisse endeks aşağı yön baskıla izle piyasa işlem hacim düşük seviye sür UNK bugün de yatay yakın kapa bekle,neg
"geç hafta en önem geliş abd istihdam veri güç seyir izle teyit et abd hisse senet endeks yeni zirve gör şimdilik enflasyon beklenti iş geri plan kal görün dolayısıyla yıllık abd tahvil faiz de yüz 1,50 alt kal devam et bist iş geç hafta yurtdışı olumsuz yön ayrış özellikle havayolu telekom çimento gyo hisse gel sat bist-100 hafta kayıp tamamla diğer taraf otomobil beyaz eşya holding hisse geçen hafta olumlu anlam one çık hafta gündem bugün gel enflasyon veri cuma gün cari denge rakam önem taşı yeni hafta yurtdışı taraf abd borsa kapalı başla asya taraf iş karışık seyir var bıst de hafta baş yatay eğilim koru tahmin et",neg
dün fed içeri gel açıkla para politika miktar normal sene son önce gör sinyal ver küresel piyasa dolar güç değer maden geri çek abd borsa miktar sat neden ol dün bist iş kuvvet aç sonra gel kar sat rağmen kazanç büyük ölçü koru özellikle banka gel alım endeks katkı sağla sabah itibar asya piyasa hafif geri çek çek yurt iç iş tl gün miktar değer kayıp başla endeks bugün hisse değişim yatay eğilim seyir göster bekle,neg
enerji fiyat yüksel ekonomik büyü enflasyonist eğilim olumsuz etkile endişe küresel hisse senet piyasa sat baskı sürme neden ol dün teknoloji hisse baş ol üzere abd hisse sat endeks civar aşağı çek banka enerji hisse eğilim nispeten dış kal sabah itibar benzer endişe neden asya piyasa eksi ol pek endeks sen yıl en düşük seviye testi et gör dün bist-100 iş nispeten daha sakın gün geçir borsa sat abd borsa aç sonra sen saat gel dün demir çelik hisse sat eğilim banka holding havayolu şirket de katıl petrol teknoloji hisse seç ol birlikte nispeten daha güç seyir izle sabah itibar abd vade hafif toparla çaba var bu birlikte bıst gün hafif sat başla düşün,neg
dün yurt dişi taraf endeks yeni rekor seviye testi et yurt iç de özellikle banka havayolu telekom gyo hisse gel alım bist-100 endeks %2 yakın yukarı taşı böylece endeks yeni kapa rekor sağla seans iç zirve seviye de yaklaş dün hisse senet taraf güç seyir koru döviz taraf iş tl miktar geri çek dikkat çek sabah itibar asya piyasa karışık seyir izle abd vade iş yatay seviye koru bıst hafta sen gün yatay seyir başla bekle,neg
hafta sen gün UNK sat seyir izle özellikle banka perakende ticaret hisse gerile bist-100 endeks de gün kayıp tamamla neden ol hafta genel iş havacılık altın maden hisse olumlu ayrış söz konu yurtdışı taraf iş cuma gün aç veri odak ol sert sat gör abd endeks gün toparla kapa gözle sabah itibar yurtdışı taraf temkin iyimser taşı gör yılbaşı göre getiri sağla puan seviye gel UNK seviye miktar dengele seviye ol gör haber ak ol hafta tüik gel kasım ayı enflasyon veri başla bıst yeni hafta yatay eğilim başla bekle,neg
art vaka sayı birlikte avrupa gel yeni kısıtla haber risk iştah baskıla ayrıca abd hisse senet piyasa hafta baş beri tekrarla senato seçim oynak yansı sen ol s arabistan gel petrol arz kesinti karar petrol fiyat sürpriz şekil yukarı çek dün bist-100 seans ikinci yarı özellikle banka gel sat gün eksi kapa UNK hisse sadece sekiz gün artı kapa banka hisse de civar gerile ol sabah aç asya piyasa abd hisse vade zayıf seyret gözle UNK de temkin eğilim yatay başla düşün,neg
"fed tutanak tahmin et daha erken faiz art git yön sinyal ver küresel risk iştah azal neden ol abd yıllık tahvil faiz geç mart ayı ardından yeniden %1,7 üzeri çıkar özellikle abd teknoloji hisse gel sat sabah itibar asya piyasa yansı gör dün bist iş abd gel veri önce özellikle havacılık altın maden demir çelik hisse gel alım %2 üzeri art göster boz risk algı birlikte bugün bist de miktar geri çek ol bekle",neg
dün UNK sert sat var bist-100 endeks gün kayıp tamamla banka hisse kayıp %9 geç UNK sat risk algı kısmen kredi işlem ilişkin düzenle kaynakla düşün ayrıca dolar baz %100 asa getiri ardından yatırım miktar kar realizasyon yönel de doğal karşıla diğer taraf döviz mevduat azal devam et bura fon miktar borsa gel devam et düşün bıst dün sat ardından bugün gün miktar baskı başla sonra gün iç dengele sağla bekle,neg
sekiz günlük düş ardından bist cuma gün oldukça sert tepki ver gün özellikle banka hisse öncü üzeri artı tamamla hafta baz bak iş UNK geçen hafta kayıp tamamla kayıp yılbaşı göre de civar ol gör UNK bugün cuma gün göre daha sakın piyasa denge oluş bekle,neg
UNK devam et şirket kar açıkla temel belirle ol devam et bu birlikte cuma gün seans içeri %4 geçen sert sat gör ancak arka gel alım endeks cuma gün kayıp %1 alt kal yeni hafta endeks oynak art göster haber ak açı hafta boyunca yurtiçi yurtdışı taraf büyü üretim istatistik one çık bıst gün yatay bant hareket koru eğilim başla bekle,neg
cuma gün başla tatil ardından avrupa borsa katılım yurtdışı piyasa bugün tümüyle aç ol yabancı yatırım etki nispeten zayıf ol sen iki işlem gün borsa temkin al seyir izle gözle dün bist-100 endeks gün artı tamamla kanal istanbul proje ilişkin beklenti ilgili şirket hisse gyo inşaat gübre mobilya olumlu etkile dün ayrıca bil hisse donuk ilgi devam et gör sabah aç abd hisse senet vade dün kazanç koru asya piyasa karışık eğilim ol dikkat çek hisse baz alım bist temkin yüksel eğilim bugün de koru bekle,neg
bist sen dönem sıkışık seyir dün de sür bilanço beklenti çimento gübre perakende hisse al seyir izle banka hisse zayıf kal devam et bist-100 endeks de ufak art seviye kapa yurt dişi taraf iş abd teknoloji hisse sat rağmen belli başlı endeks abd ab gün artı tamamla piyasa bugün tcmb ppk toplantı gel mesaj odakla piyasa dar bant seyir sürme gün yatay seviye başlangıç ol bekle,neg
fed faiz artı sonra dün abd yıllık tahvil faiz son yan ilk kez seviye geç hisse senet taraf miktar panik neden ol abd hisse senet endeks gün ara kayıp kapa dün bist iş al aç ancak abd piyasa aç birlikte sat gör bist-100 gün hafif artı kapa banka hisse gerile sür UNK bugün yurtdışı taraf sat baskı gün yatay seviye başla bekle,neg
cuma gün beklenti iyi gel abd tarım dişi istihdam veri kez enflasyonist endişe one çık şekil yorumla borsa geri çek yaşa cuma gün bist-100 iş havacılık altın hisse kar sat gün yatay seviye tamamla bist-100 geri bırak hafta iş yüksel tamamla özellikle enerji kimya sektör hisse güç alim dikkat çek banka iş cuma gün açıkla oldukça güç nisan ayı kar ver rağmen gün hafif eksi kapa bu rağmen banka sektör endeks hafta getiri UNK miktar geç yeni hafta ekonomi veri ak yurtdışı taraf petrol fiyat UNK geliş takip et veri ak taraf bugün tcmb mayıs ayı fiyat geliş rapor reel kur endeks veri one çık bıst yeni hafta temkin yatay seyir başla bekle,neg
dün abd piyasa kapalı ol neden yurt dişi taraf nispeten sakin bu birlikte avrupa asya borsa hafif yüksel gör sabah itibar iş asya piyasa karışık seyir abd vade endeks yatay seyir gör dün bist iş banka havayolu otomotiv sektör hisse öncü %1 asa yüksel göster yurtiçi piyasa açı gün en önem geliş haziran ayı enflasyon beklenti miktar üzeri gercek bu karşın tl direnç seyir hisse senet taraf destek ver ancak sen gün petrol üre ülke ara anlaş neden uluslararası piyasa yüksel sür petrol ön ay fiyat geliş açı yakın takip et bıst bugün yatay seyir gün başla bekle ancak öğle sonra özellikle abd piyasa aç yakın fiyat oynak miktar art düşün,neg
borsa yeni hafta cuma gün sen iki saat gel sat neden olası düzel beklenti one çık gündem gir geçen hafta kıyas hafta veri ak nispeten hafif ol geçen hafta sektör baz getiri bak banka istikrar yüksel sür demir çelik hisse iş geri çek devam et gör yeni hafta başla asya piyasa al seyir abd hisse senet vade yatay eğilim gör bıst yeni hafta yatay seyir başla bekle,neg
bist-100 endeks hafta ikinci işlem gün hafif geri çek zayıf seyir sür demir çelik banka hisse zayıf devam et otomotiv hisse de kar sat endeks gün eksi kapa neden ol bu karşılık petrokimya havacılık hisse endeks destek ver yurt dişi taraf iş dün nispi toparla var abd avrupa borsa yüz düzey art göster bu karşılık sabah itibar abd vade endeks asya piyasa miktar sat baskı dikkat çek aç önce işlem tl de yabancı para birim karşı miktar değer kaybet gör zayıf seyret risk iştah neden bıst gün sat baskı başla düşün,neg
geç hafta yurt dişi hisse senet piyasa sat baskı geçir sat seyir salgı yeni dalga ilişkin endişe abd gel sıkı yön sinyal etki ol bist-100 iş tl baz getiri sağla tl yabancı para birim karşı değer kayıp neden dolar baz gerile bu birlikte bıst sene baş göre dolar baz kayıp %30 bul yeni hafta gündem bak ekonomik veri ak nispeten sakın ol bu karşılık piyasa cumhurbaşkanı heyet katar yap ziyaret ilişkin beklenti fiyatla çalış düşün tl hafta baş geçen hafta kapa seviye yatay seyret bıst gün hafif al başla bekle,neg
bist-100 dün havacılık sektör hisse gel alım saye gün yatay seviye tamamla özellikle demir çelik hisse kar realizasyon endeks aşağı çek faktör ara yurt dişi taraf dün abd hisse zayıf kapa ardından sabah itibar vade endeks toparla gör yurt dış toparla iyimser de katkı UNK gün hafif al başla bekle,neg
yeni hafta başla pek vatandaş etkile ulus hep üz deprem felaket en az kayıp atla temenni et dün UNK önce %5 kadar varan düş gör bu cuma gün sert yukarı alim düzel de etki bist-100 endeks seans baş gün içeri seviye kadar gerile göster ancak seviye gel tepki sen saat %3 asa yüksel göster kapa kayıp önce gün göre sinir kal bugün seans önce spk yatırım sat konu et payla dün uygula depo şart kaldır haber gel uygula değişik le birlikte bugün hacim art gör UNK bugün yatay seyir gör bekle,neg
